APT,Aliases,Alleged Location,Allegiance/Affiliation,Targeted Sectors,TARGETED COUNTRIES,TOOL,INFO,REFERENCE
APT1,"Comment Crew, Comment Group, Comment Panda,  Byzantine Candor, Byzantine Hades, Group 3, TG-8223, Brown Fox, GIF89a, ShadyRAT, Shanghai Group",CHINA,"2nd Bureau of the Peoples Liberation Army (PLA) General Staff Departments (GSD) 3rd Department, PLA Unit 61398","aviation & aerospace, chemical & petrochemical, infrastructure, higher education, energy, engineering, media & entertainment, financial institutions institutions, hospitality & retail, agriculture, government & defense, healthcare, high technology, it & electronics, manufacturing, mining,oil & gas, navigation, ngo/npo & think tanks, research institute, telecommunications, transportation","BELGIUM, CANADA, FRANCE, INDIA, ISRAEL, JAPAN, LUXEMBOURG, NORWAY,SINGAPORE, SOUTH AFRICA, SWITZERLAND, TAIWAN, UNITED ARAB EMIRATES, UNITED KINGDOM,UNITED STATES","auriga, bangat, biscuit, bouncer, cachedump, calendar, combos, cookiebag, dairy, getmail, glooxmail, goggles, gsecdump, hacksfase, helauto, kurton, lslsass, manitsme, mapiget, mimikatz, miniasp, newsreels, pass-the-hash toolkit, poison ivy, pwdump, seasalt, shadyrat, starsypound, sword, tabmsgsql, tarsip, tasklist, webc2-adspace, webc2-ausov, webc2-bolid, webc2-cson, webc2-div, webc2-greencat, webc2-head, webc2-kt3, webc2-qbp, webc2-rave, webc2-table, webc2-ugx, webc2-yahoo","Also known as APT1, Comment Crew is an advanced persistent threat (APT) group with links to the Chinese military. The threat actors, which were active from roughly 2006 to 2010, managed to strike over 140 US companies in the quest for sensitive corporate and intellectual property data. The group earned their name through their use of HTML comments to hide communication to the command-and-control servers. The usual attack vector was via spear-phishing campaigns utilizing emails which contained documents with names tailored for the potential victims, such as “ArmyPlansConferenceOnNewGCVSolicitation.pdf,” or “Chinese Oil Executive Learning From Experience.doc.”",https://www.symantec.com/connect/blogs/apt1-qa-attacks-comment-crew
APT3,"Gothic Panda, Pirpi, UPS Team, Buckeye, Threat Group-0110, TG-0110",CHINA,Ministry of State Security and Internet security firm Guangzhou Bo Yu Information Technology Company Limited (“Boyusec”),"aviation & aerospace, infrastructure, government & defense, high technology, manufacturing, telecommunications, transportation","BELGIUM,HONG KONG,ITALY,LUXEMBOURG,PHILIPPINES,SWEDEN,UNITED KINGDOM,UNITED STATES,VIETNAM","apt3 keylogger, bemstour, cookiecutter, doublepulsar, eternalblue, htran, hupigon, kaba, lazagne, osinfo, pirpi, plugx, shareip, shotput, ttcalc, w32times, firefox, flash","APT3  is a sophisticated threat group that has been active since at least 2010. APT3 utilizes a broad range of tools and techniques including spear-phishing attacks, zero-day exploits, and numerous unique and publicly available remote access tools (RAT). Victims of APT3 intrusions include companies in the defense, telecommunications, transportation, and advanced technology sectors — as well as government departments and bureaus in Hong Kong, the U.S., and several other countries. (https://www.recordedfuture.com/chinese-mss-behind-apt3/)",
APT5,"MANGANESE,BRONZE FLEETWOOD",CHINA,,"government & defense, high technology, it & electronics, telecommunications","THAILAND,MALAYSIA,VIETNAM,SINGAPORE,BRUNEI,PHILIPPINES,INDONESIA",leouncia,"We have observed one APT group, which we call APT5, particularly focused on telecommunications and technology companies. More than half of the organizations we have observed being targeted or breached by APT5 operate in these sectors. Several times, APT5 has targeted organizations and personnel based in Southeast Asia. APT5 has been active since at least 2007. It appears to be a large threat group that consists of several subgroups, often with distinct tactics and infrastructure. APT5 has targeted or breached organizations across multiple industries, but its focus appears to be on telecommunications and technology companies, especially information about satellite communications. APT5 targeted the network of an electronics firm that sells products for both industrial and military applications. The group subsequently stole communications related to the firm’s business relationship with a national military, including inventories and memoranda about specific products they provided. In one case in late 2014, APT5 breached the network of an international telecommunications company. The group used malware with keylogging capabilities to monitor the computer of an executive who manages the company’s relationships with other telecommunications companies. (https://www.fireeye.com/content/dam/fireeye-www/current-threats/pdfs/rpt-southeast-asia-threat-landscape.pdf)",
APT6,1.php Group,CHINA,,government & defense,UNITED STATES,poison ivy,"The FBI issued a rare bulletin admitting that a group named Advanced Persistent Threat 6 (APT6) hacked into US government computer systems as far back as 2011 and for years stole sensitive data. The FBI alert was issued in February and went largely unnoticed. Nearly a month later, security experts are now shining a bright light on the alert and the mysterious group behind the attack. “This is a rare alert and a little late, but one that is welcomed by all security vendors as it offers a chance to mitigate their customers and also collaborate further in what appears to be an ongoing FBI investigation,” said Deepen Desai, director of security research at the security firm Zscaler in an email to Threatpost. Details regarding the actual attack and what government systems were infected are scant. Government officials said they knew the initial attack occurred in 2011, but are unaware of who specifically is behind the attacks. “Given the nature of malware payload involved and the duration of this compromise being unnoticed – the scope of lateral movement inside the compromised network is very high possibly exposing all the critical systems,” Deepen said.",https://threatpost.com/fbi-quietly-admits-to-multi-year-apt-attack-sensitive-data-stolen/117267/
APT12,"IXESHE, DynCalc, Numbered Panda, DNSCALC, TG-2754, BeeBus, Calc Team, Group 22, Crimson Iron",CHINA,State-sponsored,"government & defense, it & electronics, high technology, telecommunications, journalists","JAPAN,TAIWAN","aumlib, dyncalc/dnscalc, etumbot, hightide, ixeshe, rapidstealer, riptide, threebyte, waterspout","Numbered Panda has a long list of high-profile victims and is known by a number of names including: DYNCALC, IXESHE, JOY RAT, APT-12, etc. Numbered Panda has targeted a variety of victims including but not limited to media outlets, high-tech companies, and multiple governments. Numbered Panda has targeted organizations in time-sensitive operations such as the Fukushima Reactor Incident of 2011, likely filling intelligence gaps in the ground cleanup/mitigation operations. Screen saver files, which are binary executables and PDF documents, are common Numbered Panda weaponization tactics. One of the most interesting techniques that Numbered Panda likes to use is to dynamically calculate the Command and Control (C2) port by resolving a DNS. This effectively helps Numbered Panda bypass egress filtering implemented to prevent unauthorized communications on some enterprises. The malware will typically use two DNS names for communication: one is used for command and control; the other is used with an algorithm to calculate the port to communicate to.",https://www.crowdstrike.com/blog/whois-numbered-panda/
APT14,"Anchor Panda, Aluminium, QAZTeam",CHINA,PLA Navy,"aviation & aerospace, government & defense, It & engineering, npo & think tanks","AUSTRALIA,GERMANY,SWEDEN,UNITED KINGDOM, UNITED STATES","gh0st rat, poison ivy, torn rat","Anchor Panda is an adversary that CrowdStrike has tracked extensively over the last year targeting both civilian and military maritime operations in the green/brown water regions primarily in the area of operations of the South Sea Fleet of the PLA Navy. In addition to maritime operations in this region, Anchor Panda also heavily targeted western companies in the US, Germany, Sweden, the UK, and Australia, and other countries involved in maritime satellite systems, aerospace companies, and defense contractors. Not surprisingly, embassies and diplomatic missions in the region, foreign intelligence services, and foreign governments with space programs were also targeted. (https://www.crowdstrike.com/blog/whois-anchor-panda/)",
APT16,SVCMONDR,CHINA,,"financial institutions, government & defense, high technology, media & entertainment","JAPAN,THAILAND,TAIWAN","elmer, ironhalo, svcmondr","Between November 26, 2015, and December 1, 2015, known and suspected China-based APT groups launched several spear-phishing attacks targeting Japanese and Taiwanese organizations in the high-tech, government services, media and financial services industries. Each campaign delivered a malicious Microsoft Word document exploiting the aforementioned EPS dict copy use-after-free vulnerability, and the local Windows privilege escalation vulnerability CVE-2015-1701. The successful exploitation of both vulnerabilities led to the delivery of either a downloader that we refer to as IRONHALO, or a backdoor that we refer to as ELMER.",https://www.fireeye.com/blog/threat-research/2015/12/the-eps-awakens-part-two.html
APT17,"Deputy Dog, Tailgater Team, Dogfish",CHINA,State-sponsored,"government & defense, it & electronics, mining,oil & gas, ngo/npo & think tanks","UNITED STATES,BELGIUM,CHINA,GERMANY,INDONESIA,ITALY,JAPAN,NETHERLANDS,SWITZERLAND,RUSSIA,UNITED KINGDOM","9002 rat, blackcoffee, deputydog, hikit, plugx","APT 17 is a China-based threat group that has conducted network intrusions against U.S. government entities, the defense industry, law firms, information technology companies, mining companies, and non-government organizations. This group appears to be closely associated with Hidden Lynx, Aurora Panda.",https://www.fireeye.com/blog/threat-research/2013/09/operation-deputydog-zero-day-cve-2013-3893-attack-against-japanese-targets.html
APT18,"TG-0416, Dynamite Panda, Threat Group-0416, Wekby, Scandium",CHINA,PLA Navy,"aviation & aerospace, biotechnology, Construction, government & defense, higher education, engineering, healthcare, high technology, telecommunications, transportation",UNITED STATES,"gh0st rat, hcdloader, httpbrowser, pisloader, roseam, stickyfingers","Wekby was described by Palo Alto Networks in a 2015 report as: ‘Wekby is a group that has been active for a number of years, targeting various industries such as healthcare, telecommunications, aerospace, defense, and high tech. The group is known to leverage recently released exploits very shortly after those exploits are available, such as in the case of Hacking Team’s Flash zero – day exploit.’ This threat group has been seen since 2009.",https://www.fireeye.com/blog/threat-research/2015/07/demonstrating_hustle.html
APT19,"Codoso, C0d0so0, Codoso Team, Sunshop Group",CHINA,"Likely to be freelancers, with some connection with the Chinese government. (FireEye)","higher education, energy, financial institutions, government & defense, high technology, manufacturing, pharmaceutical, telecommunications, npo & think tanks, activists & dissidents",,"c0d0so, cobalt strike, empire, derusbi","APT 19 is a Chinese-based threat group that has targeted a variety of industries, including defense, finance, energy, pharmaceutical, telecommunications, high tech, education, manufacturing, and legal services. In 2017, a phishing campaign was used to target seven law and investment firms. Some analysts track APT19 and DarkHydrus as the same group, but it is unclear from open source information if the groups are the same.","https://unit42.paloaltonetworks.com/new-attacks-linked-to-c0d0s0-group/, https://www.fireeye.com/blog/threat-research/2017/06/phished-at-the-request-of-counsel.html"
